author/canDm,author/canMediaTag,author/coverPicture,author/createdAt,author/description,author/entities/url/urls/0/display_url,author/entities/url/urls/0/indices/0,author/entities/url/urls/0/indices/1,author/entities/url/urls/0/url,author/favouritesCount,author/followers,author/following,author/hasCustomTimelines,author/id,author/isBlueVerified,author/isTranslator,author/isVerified,author/location,author/mediaCount,author/name,author/possiblySensitive,author/profilePicture,author/status,author/statusesCount,author/twitterUrl,author/type,author/url,author/userName,author/verifiedType,createdAt,text,media/0,media/1,media/2,media/3,twitterUrl,inReplyToUsername,isReply,isQuote
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Sat Apr 29 15:20:17 +0000 2023,Salam untuk saudara-saudara di Maumere.,,,,,https://twitter.com/prabowo/status/1652331977830449153,,False,True
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Sat Apr 29 15:17:34 +0000 2023,@Gerindra ini yang baik sekali,,,,,https://twitter.com/prabowo/status/1652331295891161090,Gerindra,True,True
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Sat Apr 29 15:14:02 +0000 2023,Selamat malam. Malam Minggu siapa yang sedang online?,,,,,https://twitter.com/prabowo/status/1652330404937109505,,False,False
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Mon Apr 24 04:55:04 +0000 2023,"Tidak lupa beliau pun menitipkan pesan kepada saya untuk terus berupaya menjaga persatuan, kesatuan, kebersamaan, kesantunan, dan kerukunan demi kemajuan dan pembangunan bangsa Indonesia di masa yang akan datang. https://t.co/5F5Nndfskj",https://pbs.twimg.com/media/FudEH9laYAEZUrE.jpg,https://pbs.twimg.com/media/FudEH9-aYAAyPRI.jpg,,,https://twitter.com/prabowo/status/1650362700827074567,,False,False
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Mon Apr 24 04:53:33 +0000 2023,"Alhamdulillah saya masih diberikan kesempatan untuk menjaga dan menyambung tali silaturahmi dengan para guru, ulama, habaib dan ustaz di hari kemenangan ini. https://t.co/wyUuyJgEVc",https://pbs.twimg.com/media/FudDx07aMAETa23.jpg,https://pbs.twimg.com/media/FudDx09aYAEKC6k.jpg,https://pbs.twimg.com/media/FudDx07aMAArRAw.jpg,,https://twitter.com/prabowo/status/1650362318705037312,,False,False
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Mon Apr 24 04:52:02 +0000 2023,"Di kesempatan libur hari raya Idulfitri ini, saya dengan Mas Walikota Gibran dan jajaran pengurus DPP Partai Gerindra bersilaturahmi ke kediaman Habib Syech bin Abdul Qodir Assegaf di Solo. Suasana pertemuan kami begitu hangat, begitu ceria, penuh canda dan tawa ditemani kopi racikan spesial dari beliau.",https://pbs.twimg.com/media/FudDbC5aYAA5APa.jpg,https://pbs.twimg.com/media/FudDbC1aMAQuor_.jpg,https://pbs.twimg.com/media/FudDbC3aAAApTzj.jpg,https://pbs.twimg.com/media/FudDbCqaEAAgbaX.jpg,https://twitter.com/prabowo/status/1650361937799290883,,False,False
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Sat Apr 22 10:47:29 +0000 2023,Silaturahmi Idulfitri ke kediaman Bapak Presiden @jokowi di Solo. Terima kasih Pak Jokowi beserta keluarga telah menerima kami dengan hangat. https://t.co/8ayenh6Ndu,https://pbs.twimg.com/media/FuUBm8TaEAApgIV.jpg,https://pbs.twimg.com/media/FuUBm8XaQAE_kpe.jpg,https://pbs.twimg.com/media/FuUBm8gagAE8_Nt.jpg,https://pbs.twimg.com/media/FuUBm8XagAA0GXS.jpg,https://twitter.com/prabowo/status/1649726612651528192,,False,False
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Sat Apr 22 03:40:52 +0000 2023,@RudyPrabowo29 Terima kasih Prabowo. Aamiin.,,,,,https://twitter.com/prabowo/status/1649619250712309762,RudyPrabowo29,True,False
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Sat Apr 22 03:04:00 +0000 2023,Aamiin. Salam hormat untuk keluarga.,,,,,https://twitter.com/prabowo/status/1649609974635716616,,False,True
True,True,https://pbs.twimg.com/profile_banners/40580714/1705050593,Sun May 17 01:17:32 +0000 2009,,FB.com/PrabowoSubianto,0,23,https://t.co/pjTorMoPtw,27,4963749,1915,False,40580714,True,False,False,Indonesia,693,Prabowo Subianto,False,https://pbs.twimg.com/profile_images/1745714625201811456/RyWWes7t_normal.jpg,,9490,https://twitter.com/prabowo,user,https://x.com/prabowo,prabowo,Government,Sat Apr 22 02:57:20 +0000 2023,Semoga kita semua selalu diberikan kesuksesan dan kesehatan. Aamiin.,,,,,https://twitter.com/prabowo/status/1649608293474775047,,False,True
